,Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
50,Nigeria,NGA,3571.0,3573.0,4782.0,4829.0,6026.0,8118.0,8486.0,9071.0,6780.0,6941.0,7270.0,7200.0,7355.0,9171.0,8395.0,9019.0,8768.0,8460.0,10124.0,9127.0,8747.0,8806.0,3154.0,1694.0,1239.0,1395.0,1347.0
51,Nepal,NPL,17800.0,28319.0,95251.0,105342.0,123271.0,124754.0,126815.0,129157.0,126101.0,127940.0,129237.0,130945.0,132436.0,123667.0,124928.0,126436.0,128175.0,130681.0,124832.0,108461.0,89808.0,72654.0,56264.0,46305.0,38490.0,32667.0,25244.0
52,Pakistan,PAK,3255975.0,3099891.0,1629218.0,1479266.0,1055435.0,1202493.0,1202703.0,1202734.0,1202462.0,1202015.0,2001466.0,2198797.0,1227433.0,1124298.0,1290984.0,1084694.0,1044462.0,2035023.0,1780935.0,1740711.0,1900621.0,1702700.0,1638456.0,1616507.0,1505525.0,1561162.0,1352551.0
53,Panama,PAN,1350.0,914.0,1007.0,964.0,972.0,867.0,867.0,622.0,1188.0,1321.0,1313.0,1470.0,1573.0,1445.0,1608.0,1730.0,1848.0,16890.0,16913.0,16923.0,17073.0,17262.0,17429.0,17665.0,17271.0,17322.0,17292.0
54,Peru,PER,724.0,683.0,640.0,738.0,659.0,610.0,663.0,750.0,433.0,702.0,687.0,683.0,688.0,718.0,766.0,848.0,911.0,995.0,1075.0,1108.0,1146.0,1144.0,1122.0,1162.0,1303.0,1488.0,1590.0
55,Philippines,PHL,19860.0,8972.0,6722.0,2477.0,669.0,783.0,691.0,311.0,307.0,170.0,176.0,136.0,114.0,108.0,107.0,96.0,100.0,106.0,104.0,95.0,243.0,125.0,141.0,182.0,222.0,269.0,382.0
56,State of Palestine,PSE,910637.0,968704.0,1026771.0,1084838.0,1142905.0,1200972.0,1249368.0,1308438.0,1348288.0,1384655.0,1428891.0,1483394.0,1532589.0,1587920.0,1634952.0,1685851.0,1739266.0,1793901.0,1836123.0,1885188.0,2015855.0,1895043.0,1944544.0,1994493.0,2051098.0,2104001.0,2158274.0
57,Rwanda,RWA,23601.0,34004.0,25162.0,277000.0,6000.0,7792.0,25257.0,34227.0,33403.0,34365.0,28398.0,34786.0,30863.0,36608.0,50221.0,45206.0,49192.0,53577.0,55062.0,54016.0,55398.0,55325.0,58212.0,73349.0,73820.0,144737.0,156055.0
58,Sudan,SDN,1031050.0,729200.0,725900.0,745200.0,727174.0,674071.0,393874.0,374415.0,391496.0,390995.0,414928.0,349209.0,328176.0,138163.0,141588.0,147256.0,196200.0,222722.0,181605.0,186292.0,178308.0,139415.0,152194.0,159857.0,277833.0,309639.0,421454.0
59,Senegal,SEN,58113.0,71908.0,71620.0,73002.0,72994.0,66769.0,65044.0,57229.0,60823.0,21539.0,20766.0,20707.0,20711.0,20726.0,20804.0,20712.0,20591.0,20421.0,33193.0,22151.0,20672.0,20644.0,14237.0,14247.0,14274.0,14392.0,14575.0
60,El Salvador,SLV,20300.0,20099.0,19903.0,163.0,156.0,154.0,150.0,109.0,33.0,24.0,59.0,69.0,74.0,246.0,235.0,49.0,39.0,39.0,32.0,30.0,38.0,38.0,45.0,44.0,35.0,48.0,36.0
61,Somalia,SOM,460000.0,,480.0,399.0,388.0,626.0,700.0,622.0,337.0,130.0,558.0,589.0,199.0,368.0,357.0,493.0,669.0,901.0,1842.0,1815.0,1937.0,2099.0,2309.0,2425.0,2729.0,8081.0,11559.0
62,South Sudan,SSD,,,,,,,,,,,,,,,,,,,,,,105023.0,202581.0,229587.0,248152.0,263016.0,262548.0
63,Swaziland,SWZ,42074.0,49569.0,55580.0,48889.0,643.0,712.0,575.0,592.0,592.0,616.0,690.0,690.0,653.0,686.0,704.0,760.0,752.0,789.0,775.0,759.0,759.0,759.0,505.0,507.0,515.0,696.0,705.0
64,Syrian Arab Republic,SYR,284856.0,296256.0,309672.0,353392.0,366283.0,373530.0,375150.0,383906.0,391009.0,384856.0,390989.0,399599.0,408519.0,417508.0,437341.0,458137.0,1144572.0,1955236.0,1567595.0,1526575.0,1501442.0,1242391.0,975695.0,666547.0,677756.0,581113.0,562811.0
65,Chad,TCD,,,70.0,70.0,109.0,100.0,100.0,302.0,8810.0,23478.0,17692.0,12950.0,33455.0,146400.0,259880.0,275412.0,286743.0,294017.0,330510.0,338495.0,347939.0,366494.0,373695.0,434479.0,452897.0,369540.0,391235.0
66,Tajikistan,TJK,,,3000.0,300.0,695.0,620.0,1166.0,2174.0,3634.0,4541.0,15364.0,15346.0,3437.0,3306.0,1834.0,1018.0,929.0,1133.0,1799.0,2679.0,3131.0,3323.0,2248.0,2048.0,2026.0,1969.0,2719.0
67,Timor-Leste,TLS,,,,,,,,,,,,,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,,,
68,Turkey,TUR,28000.0,30462.0,28477.0,23267.0,24927.0,12841.0,8166.0,2446.0,2528.0,2815.0,3103.0,3472.0,3301.0,2490.0,3033.0,2399.0,2633.0,6956.0,11103.0,10350.0,10032.0,14465.0,267063.0,609938.0,1587374.0,2541352.0,2869379.0
69,United Republic of Tanzania,TZA,265184.0,288103.0,292148.0,564520.0,883250.0,829671.0,498732.0,570367.0,543881.0,622203.0,680862.0,646900.0,689373.0,649770.0,602088.0,548824.0,485295.0,435630.0,321909.0,118731.0,109286.0,131243.0,101021.0,102099.0,88492.0,211845.0,281498.0
70,Uganda,UGA,145718.0,162521.0,196290.0,286500.0,286500.0,229350.0,264294.0,188513.0,204545.0,218191.0,236622.0,199736.0,217302.0,230903.0,250482.0,257256.0,272007.0,228959.0,162132.0,127345.0,135801.0,139448.0,197877.0,220555.0,385513.0,477187.0,940815.0
71,Ukraine,UKR,,,,,5193.0,5193.0,3591.0,4564.0,6101.0,2697.0,2951.0,2983.0,2966.0,2877.0,2459.0,2346.0,2275.0,7277.0,7201.0,7334.0,3022.0,3176.0,2807.0,2968.0,3219.0,3273.0,3252.0
72,Yemen,YEM,2938.0,29977.0,59680.0,54450.0,48306.0,53453.0,53546.0,40964.0,61382.0,60477.0,60545.0,69468.0,82803.0,61881.0,66384.0,81937.0,95794.0,117363.0,140169.0,170854.0,190092.0,214740.0,237182.0,241288.0,257645.0,267173.0,269763.0
73,Zambia,ZMB,138049.0,140676.0,142104.0,141126.0,141126.0,129965.0,131139.0,165072.0,168564.0,206386.0,250940.0,284173.0,246765.0,226697.0,173907.0,155718.0,120253.0,112931.0,83485.0,56785.0,47857.0,45632.0,25653.0,23594.0,25578.0,26447.0,29338.0
74,Zimbabwe,ZWE,190950.0,197627.0,237713.0,100482.0,2199.0,514.0,595.0,806.0,1655.0,2071.0,4127.0,8706.0,9432.0,12721.0,6884.0,13850.0,3519.0,3981.0,3468.0,3995.0,4435.0,4561.0,4356.0,6389.0,6079.0,6950.0,7418.0
